"yymm","year","month","url","row","good","medida","cantidad","precio","total","id","ym","categoria","ipc","ipc_estimado","precio_real","total_real"
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","1","Arroz","libra",38,7.1174,270.4612,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,18.9846852122212,721.418038064408
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","2","Frijol","libra",34,14.44208715,491.0309631,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,38.5222803762913,1309.7575327939
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","3","Azúcar","libra",30,4.97252374,149.1757122,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,13.2635229036161,397.905687108482
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","4","Aceite","litro",7,27.40971986,191.86803902,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,73.1116564050453,511.781594835317
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","5","Posta de res","libra",8,33.53496275,268.279702,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,89.4498990378952,715.599192303162
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","6","Posta de cerdo","libra",5,31.64264956,158.2132478,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,84.402413968195,422.012069840975
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","7","Carne de aves","libra",8,18.33468834,146.67750672,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,48.9052584650411,391.242067720329
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","8","Chuleta de pescado","libra",9,35.40743765,318.66693885,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,94.4444681985839,850.000213787255
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","9","Leche","litro",30,11.85793918,355.7381754,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,31.6294212209466,948.882636628396
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","10","Huevos","docena",7,26.07428709,182.52000963,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,69.5495732341493,486.847012639045
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","11","Queso seco","libra",9,28.02182105,252.19638945,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,74.7443521099622,672.69916898966
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","12","Tortilla","libra",57,8.87709433,505.99437681,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,23.6784277199882,1349.67038003933
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","13","Pinolillo","libra",10,15.04353803,150.4353803,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,40.1265678446664,401.265678446664
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","14","Pastas alimenticias","libra",5,12.40937346,62.0468673,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,33.1002962906388,165.501481453194
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","15","Pan","libra",27,13.81307823,372.95311221,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,36.8444856279451,994.801111954517
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","16","Tomate de cocinar","libra",14,11.42492532,159.94895448,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,30.4744163280603,426.641828592844
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","17","Cebolla blanca","libra",8,12.33179,98.65432,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,32.8933530858485,263.146824686788
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","18","Papas","libra",15,9.16766006,137.5149009,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,24.453471825632,366.80207738448
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","19","Ayote","libra",32,3.7698111606409,120.633957140509,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,10.0554525801958,321.774482566268
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","20","Chiltoma","libra",3,22.8748494,68.6245482,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,61.0155134088246,183.046540226474
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","21","Plátano verde","libra",16,4.14178892,66.26862272,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,11.04765207262,176.762433161921
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","22","Naranja","libra",46,2.32211991,106.81751586,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,6.193935357909,284.921026463814
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","23","Repollo","libra",2,6.21971062,12.43942124,4,2007-12-01,"Alimentos",83.1486836465761,FALSE,16.5902223047474,33.1804446094949
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","24","Jabón de lavar ropa","unidad",12.55,6.72232693,84.3652029715,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,17.9308821563615,225.032571062337
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","25","Detergente","bolsita de 40 gramos",27.97,1.36701372,38.2353737484,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,3.6463210097771,101.987598643466
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","26","Pasta dental","unidad de 115 grs",2.13,20.6301,43.942113,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,55.0279532408809,117.209540403076
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","27","Fósforos","cajita de 40 cerillos",10.87,0.9110893,9.903540691,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,2.43020535036994,26.4163321585212
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","28","Escoba","unidad",1.22,27.7483,33.852926,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,74.0147723430296,90.2980222584961
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","29","Papel higiénico","rollos",10.71,5.34194659,57.2122479789,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,14.2489075268565,152.605799612634
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","30","Jabón de baño","unidad",4.67,3.20219072,14.9542306624,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,8.54140315405852,39.8883527294533
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","31","Toallas sanitarias","bolsa de 10 unid",2.21,8.95507585,19.7907176285,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,23.8864326950592,52.7890162560809
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","32","Desodorante nacional","unidad",1.9,14.46329159,27.480254021,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,38.5788403024583,73.2997965746708
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","33","Cepillo dental","unidad",2.49,7.8745,19.607505,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,21.0041452923309,52.300321777904
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","34","Alquiler","valor (c$) mensual",1,900,900,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,2400.62616840407,2400.62616840407
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","35","Gas butano","25 libras",1,247.34619434,247.34619434,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,659.761940875292,659.761940875292
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","36","Luz eléctrica","kwh",100,1.900469,190.0469,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,5.0692395707119,506.92395707119
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","37","Agua","galones",5292,0.015043,79.607556,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,0.0401251327236694,212.342202373658
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","38","Transporte","pasaje",240,2.5,600,4,2007-12-01,"Usos del Hogar",83.1486836465761,FALSE,6.66840602334464,1600.41744560271
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","39","Pantalón largo de tela de jeans (Hombre)","unidad",0.62,178.17919718,110.4711022516,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,475.268492683929,294.666465464036
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","40","Camisa manga corta","unidad",0.66,55.15198029,36.4003069914,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,147.110319026088,97.0928105572183
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","41","Calzoncillos","unidad",1.57,14.6359,22.978363,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,39.0392494868279,61.2916216943198
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","42","Calcetines (Hombre)","par",1.32,14.2448,18.803136,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,37.9960440485359,50.1547781440674
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","43","Zapato de cuero natural","par",0.43,206.50094184,88.7954049912,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,550.812849756879,236.849525395458
"CB2007Dic",2007,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CDIc07.xls","44","Blusa manga corta","unidad",0.66,43.57163649,28.7572800834,4,2007-12-01,"Vestuario",83.1486836465761,FALSE,116.22134528676,76.7060878892613
