ym,year,month_num,ipc
1999-01-01,1999,1,41.9401257296321
1999-02-01,1999,2,42.0816045245195
1999-03-01,1999,3,41.9730457576803
1999-04-01,1999,4,42.0642311825359
1999-05-01,1999,5,42.1931741420164
1999-06-01,1999,6,42.324372256719
1999-07-01,1999,7,42.520916127312
1999-08-01,1999,8,42.866036107775
1999-09-01,1999,9,43.1595173110901
1999-10-01,1999,10,43.5528213992926
1999-11-01,1999,11,43.6982710117502
1999-12-01,1999,12,43.9828823925764
2000-01-01,2000,1,44.3908244511465
2000-02-01,2000,2,44.9043754135715
2000-03-01,2000,3,45.174318185749
2000-04-01,2000,4,45.2983428630951
2000-05-01,2000,5,45.545005600501
2000-06-01,2000,6,45.8044054535512
2000-07-01,2000,7,45.7504391046563
2000-08-01,2000,8,45.8367145779797
2000-09-01,2000,9,46.1435146671799
2000-10-01,2000,10,46.3498572198911
2000-11-01,2000,11,46.5607368555714
2000-12-01,2000,12,46.8216602311752
2001-01-01,2001,1,47.2430339360132
2001-02-01,2001,2,47.8043737855208
2001-03-01,2001,3,47.8148116355607
2001-04-01,2001,4,48.1483466521113
2001-05-01,2001,5,48.5042462326384
2001-06-01,2001,6,48.8108089639956
2001-07-01,2001,7,48.6228520565116
2001-08-01,2001,8,48.7279021450932
2001-09-01,2001,9,48.7527229248239
2001-10-01,2001,10,48.8340313119326
2001-11-01,2001,11,49.0686268368006
2001-12-01,2001,12,49.0866782442654
2002-01-01,2002,1,49.2123662582792
2002-02-01,2002,2,49.6066514435988
2002-03-01,2002,3,49.7471652985473
2002-04-01,2002,4,50.0315176094841
2002-05-01,2002,5,50.2590447406248
2002-06-01,2002,6,50.3453136135005
2002-07-01,2002,7,50.4240320419723
2002-08-01,2002,8,50.4792687931602
2002-09-01,2002,9,50.7188961022737
2002-10-01,2002,10,50.7586861800607
2002-11-01,2002,11,50.6520946757385
2002-12-01,2002,12,50.9876047627829
2003-01-01,2003,1,51.4660149604434
2003-02-01,2003,2,52.2263692136208
2003-03-01,2003,3,52.332300931702
2003-04-01,2003,4,52.219813470821
2003-05-01,2003,5,52.6162566771496
2003-06-01,2003,6,53.2025799051661
2003-07-01,2003,7,53.1604867141616
2003-08-01,2003,8,53.1230963551388
2003-09-01,2003,9,53.2394454407981
2003-10-01,2003,10,53.446334696912
2003-11-01,2003,11,53.8835696183551
2003-12-01,2003,12,54.2915768775615
2004-01-01,2004,1,55.1532653071887
2004-02-01,2004,2,55.8392409775126
2004-03-01,2004,3,56.1097360454737
2004-04-01,2004,4,56.5750055484579
2004-05-01,2004,5,57.0745834962512
2004-06-01,2004,6,57.2535465158754
2004-07-01,2004,7,57.6107814871505
2004-08-01,2004,8,57.7411285883939
2004-09-01,2004,9,58.0815610725735
2004-10-01,2004,10,58.8771370407212
2004-11-01,2004,11,59.3784479142871
2004-12-01,2004,12,59.3168533031256
2005-01-01,2005,1,59.6690619113299
2005-02-01,2005,2,60.4058894743688
2005-03-01,2005,3,60.9870927039306
2005-04-01,2005,4,62.0210575912997
2005-05-01,2005,5,62.5357028439981
2005-06-01,2005,6,62.9869969167232
2005-07-01,2005,7,63.5167765339809
2005-08-01,2005,8,63.9315970315675
2005-09-01,2005,9,64.3633280682133
2005-10-01,2005,10,64.9580903537159
2005-11-01,2005,11,64.7732240002409
2005-12-01,2005,12,65.0013513863929
2006-01-01,2006,1,65.7958385676072
2006-02-01,2006,2,66.7379131708178
2006-03-01,2006,3,67.1757442813139
2006-04-01,2006,4,68.1244271866345
2006-05-01,2006,5,68.7355113534835
2006-06-01,2006,6,68.9691304404291
2006-07-01,2006,7,69.3406758654219
2006-08-01,2006,8,69.460021777494
2006-09-01,2006,9,69.1829704102984
2006-10-01,2006,10,69.4909592434579
2006-11-01,2006,11,70.0170781424589
2006-12-01,2006,12,71.1421315976618
2007-01-01,2007,1,71.7660187118697
2007-02-01,2007,2,72.6162482354928
2007-03-01,2007,3,73.4329594152528
2007-04-01,2007,4,74.1714473935206
2007-05-01,2007,5,74.7380217982873
2007-06-01,2007,6,75.4941142198112
2007-07-01,2007,7,76.1082210981664
