"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","1","Arroz","Libra",38,10.5349,400.3262,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","2","Frijol","Libra",34,12.2596741,416.8289194,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","3","Azúcar","Libra",30,5.38168111,161.4504333,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","4","Aceite","Litro",7,33.304628,233.132396,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","5","Posta de res","Libra",8,39.52366073,316.18928584,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","6","Posta de cerdo","Libra",5,37.08591377,185.42956885,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","7","Carne de aves","Libra",8,21.48718469,171.89747752,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","8","Pescado","Libra",9,40.77433769,366.96903921,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","9","Leche fluída","Litro",30,16.03,480.9,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","10","Huevos","Docena",7,31.84723384,222.93063688,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","11","Queso seco","Libra",9,35.02226951,315.20042559,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","12","Tortilla","Libra",57,9.67685859,551.58093963,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","13","Pinolillo","Libra",10,19.94186,199.4186,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","14","Pastas alimenticias","Libra",5,16.52787717,82.63938585,16
"CB2008Dic",2008,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2008/Cdiciembre08.xls","15","Pan","Libra",27,18.28856783,493.79133141,16
