"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","1","Arroz","Libra",38,10.4405,396.739,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","2","Frijol","Libra",34,11.14242,378.84228,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","3","Azúcar","Libra",30,5.46358363,163.9075089,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","4","Aceite","Litro",7,31.51685479,220.61798353,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","5","Posta de res","Libra",8,39.5421768,316.3374144,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","6","Posta de cerdo","Libra",5,38.7887122,193.943561,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","7","Carne de aves","Libra",8,21.7244093,173.7952744,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","8","Pescado","Libra",9,40.62168941,365.59520469,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","9","Leche fluída","Litro",30,16.03,480.9,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","10","Huevos","Docena",7,32.07799463,224.54596241,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","11","Queso seco","Libra",9,36.10638014,324.95742126,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","12","Tortilla","Libra",57,10.00332406,570.18947142,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","13","Pinolillo","Libra",10,20.20184492,202.0184492,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","14","Pastas alimenticias","Libra",5,17.01444523,85.07222615,18
"CB2009Feb",2009,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/Cfebrero09.xls","15","Pan","Libra",27,17.95460814,484.77441978,18
