"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","1","Arroz","Libra",38,9.2456,351.3328,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","2","Frijol","Libra",34,9.46907961,321.94870674,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","3","Azúcar","Libra",30,5.58188681,167.4566043,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","4","Aceite","Litro",7,25.82369628,180.76587396,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","5","Posta de res","Libra",8,38.06317518,304.50540144,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","6","Posta de cerdo","Libra",5,37.00104793,185.00523965,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","7","Carne de aves","Libra",8,20.57651744,164.61213952,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","8","Pescado","Libra",9,39.63730889,356.73578001,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","9","Leche fluída","Litro",30,16.03,480.9,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","10","Huevos","Docena",7,28.11925228,196.83476596,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","11","Queso seco","Libra",9,30.51239118,274.61152062,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","12","Tortilla","Libra",57,9.95865835,567.64352595,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","13","Pinolillo","Libra",10,20.03108536,200.3108536,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","14","Pastas alimenticias","Libra",5,18.65337795,93.26688975,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","15","Pan","Libra",27,16.16319204,436.40618508,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","16","Tomate de cocinar","Libra",14,8.16273632,114.27830848,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","17","Cebolla blanca","Libra",8,13.21594674,105.72757392,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","18","Papas","Libra",15,10.55000913,158.25013695,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","19","Ayote","Libra",32,3.73656645764184,119.570126644539,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","20","Chiltoma","Libra",3,12.70682122,38.12046366,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","21","Plátano verde","Libra",16,4.78233972,76.51743552,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","22","Naranja","Libra",46,2.79415617,128.53118382,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","23","Repollo","Libra",2,3.2394728,6.4789456,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","24","Jabón de lavar","Unidad",12.55,9.445525,118.54133875,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","25","Detergente","Bolsita de 40 gramos",27.97,1.94031705,54.2706678885,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","26","Pastas dental","Unidad de 115 grs",2.13,24.0372,51.199236,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,1.00474789,10.9216095643,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","28","Escoba","Unidad",1.22,32.0337,39.081114,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","29","Papel higiénico","Rollos",10.71,6.77419507,72.5516291997,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","30","Jabón de baño","Unidad",4.67,4.71245615,22.0071702205,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,11.29868507,24.9700940047,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","32","Desodorantes nacional","Unidad",1.9,17.44794979,33.151104601,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","33","Cepillo dental","Unidad",2.49,9.0174,22.453326,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","34","Alquiler","Valor (C$) mensual",1,900,900,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","35","Gas butano","25 libras",1,214.93064431,214.93064431,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","36","Luz eléctrica","KWH",100,2.086875,208.6875,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","37","Agua","Galones",5292,0.01559,82.50228,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","38","Transporte","Pasaje",240,2.5,600,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,198.75518778,123.2282164236,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","40","Camisa manga corta","Unidad",0.66,72.50369587,47.8524392742,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","41","Calzoncillos","Unidad",1.57,17.2344,27.058008,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","42","Calcetines","Par",1.32,16.2917,21.505044,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","43","Zapato  de cuero natural (mocasin, acordonado,cerrado. Etc.)","Par",0.43,250.35779098,107.6538501214,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","44","Blusa manga corta","Unidad",0.66,53.79947243,35.5076518038,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,212.16794151,108.2056501701,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","46","Vestido entero","Unidad",0.5,130.51441041,65.257205205,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","47","Calzones/ Bikinis","Unidad",1.23,17.8881,22.002363,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","48","Brassiers/ sostén","Unidad",0.97,20.2964,19.687508,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","49","Sandalias de cuero sintético","Par",0.44,138.91054375,61.12063925,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","50","Traje completo","Unidad",0.5,156.13827054,78.06913527,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","51","Calzones","Unidad",1.43,14.97051723,21.4078396389,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","52","Calcetines","Par",1.39,14.68082787,20.4063507393,27
"CB2009Nov",2009,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2009/CNov09.xls","53","Zapato de cuero sintético","Par",0.45,187.95140661,84.5781329745,27
