"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","1","Arroz","Libra",38,9.8,372.52
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","2","Frijol","Libra",34,9.32,316.76
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","3","Azúcar","Libra",30,5.87,175.99
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","4","Aceite","Litro",7,29.46,206.22
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","5","Posta de res","Libra",8,37.83,302.64
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","6","Posta de cerdo","Libra",5,37.75,188.75
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","7","Carne de aves","Libra",8,21.43,171.44
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","8","Pescado","Libra",9,41.52,373.68
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","9","Leche fluída","Litro",30,16.03,480.9
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","10","Huevos","Docena",7,30.67,214.66
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","11","Queso seco","Libra",9,39.78,358.02
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","12","Tortilla","Libra",57,9.79,558.03
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","13","Pinolillo","Libra",10,18.37,183.7
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","14","Pastas alimenticias","Libra",5,18.32,91.6
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","15","Pan","Libra",27,16.3,440.1
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","16","Tomate de cocinar","Libra",14,11.38,159.32
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","17","Cebolla blanca","Libra",8,14.03,112.24
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","18","Papas","Libra",15,9.95,149.25
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","19","Ayote","Libra",32,4.37,139.84
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","20","Chiltoma","Libra",3,23.34,70.02
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","21","Plátano verde","Libra",16,4.29,68.64
"CB2010Abr",2010,"Abr","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cabril2010.xls","22","Naranja","Libra",46,3.24,149.04
