"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","1","Arroz","Libra",38,9.76,370.93
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","2","Frijol","Libra",34,9.34,317.68
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","3","Azúcar","Libra",30,5.77,172.96
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","4","Aceite","Litro",7,29.72,208.04
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","5","Posta de res","Libra",8,37.94,303.52
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","6","Posta de cerdo","Libra",5,37.62,188.1
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","7","Carne de aves","Libra",8,21.74,173.92
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","8","Pescado","Libra",9,41.45,373.05
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","9","Leche fluída","Litro",30,16.03,480.9
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","10","Huevos","Docena",7,31.96,223.69
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","11","Queso seco","Libra",9,37.61,338.49
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","12","Tortilla","Libra",57,9.64,549.48
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","13","Pinolillo","Libra",10,18.03,180.3
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","14","Pastas alimenticias","Libra",5,18.4,92
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","15","Pan","Libra",27,17.03,459.81
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","16","Tomate de cocinar","Libra",14,11.83,165.62
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","17","Cebolla blanca","Libra",8,11.65,93.2
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","18","Papas","Libra",15,11.19,167.85
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","19","Ayote","Libra",32,4.58,146.56
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","20","Chiltoma","Libra",3,25.36,76.08
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","21","Plátano verde","Libra",16,4.13,66.08
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","22","Naranja","Libra",46,2.61,120.06
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","23","Repollo","Libra",2,5.66,11.32
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","24","Jabón de lavar","Unidad",12.55,9.66,121.25
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","25","Detergente","Bolsita de 40 gramos ",27.97,1.93,53.98
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","26","Pastas dental","Unidad de 115 grs ",2.13,24.19,51.52
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,0.98,10.68
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","28","Escoba","Unidad",1.22,32.35,39.47
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","29","Papel higiénico","Rollos",10.71,8.05,86.22
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","30","Jabón de baño","Unidad",4.67,4.82,22.5
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,11.71,25.88
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","32","Desodorantes nacional","Unidad",1.9,17.7,33.63
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","33","Cepillo dental","Unidad",2.49,9.16,22.81
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","35","Gas butano"," 25 libras",1,249.21,249.21
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","36","Luz eléctrica","KWH",100,2.12,212.06
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","37","Agua","Galones",5292,0.02,82.5
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","38","Transporte","Pasaje",240,2.5,600
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,204.05,126.51
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","40","Camisa manga corta","Unidad",0.66,73.47,48.49
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","41","Calzoncillos","Unidad",1.57,18.1,28.42
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","42","Calcetines","Par",1.32,16.32,21.54
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","43","Zapato  de cuero natural (mocasin, acordonado,cerrado. Etc.)","Par",0.43,251.61,108.19
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","44","Blusa manga corta","Unidad",0.66,53.83,35.53
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,213.75,109.01
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","46","Vestido entero","Unidad",0.5,141.25,70.63
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","47","Calzones/ Bikinis","Unidad",1.23,18.32,22.53
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","48","Brassiers/ sostén","Unidad",0.97,21.06,20.43
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","49","Sandalias de cuero sintético","Par",0.44,140.57,61.85
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","50","Traje completo","Unidad",0.5,161.54,80.77
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","51","Calzones","Unidad",1.43,16.06,22.97
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","52","Calcetines","Par",1.39,15.3,21.27
"CB2010Mar",2010,"Mar","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2010/Cmarzo2010.xls","53","Zapato de cuero sintético","Par",0.45,196.66,88.5
