"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","1","Arroz","Libra",38,9.25,351.5,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","2","Frijol","Libra",34,15.4,523.6,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","3","Azúcar","Libra",30,6.72,201.6,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","4","Aceite","Litro",7,39.68,277.76,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","5","Posta de res","Libra",8,39.64,317.12,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","6","Posta de cerdo","Libra",5,46.78,233.9,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","7","Carne de aves","Libra",8,23.57,188.56,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","8","Chuleta de pescado","Libra",9,45.31,407.79,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","9","Leche","Litro",30,16.62,498.6,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","10","Huevos","Docena",7,33.85,236.95,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","11","Queso seco","Libra",9,38.81,349.29,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","12","Tortilla","Libra",57,9.63,548.91,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","13","Pinolillo","Libra",10,18.72,187.2,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","14","Pastas alimenticias","Libra",5,19.54,97.7,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","15","Pan","Libra",27,17.92,483.84,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","16","Tomate de cocinar","Libra",14,4.61,64.54,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","17","Cebolla blanca","Libra",8,12.71,101.68,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","18","Papas","Libra",15,12.3,184.5,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","19","Ayote","Libra",32,5.32,170.24,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","20","Chiltoma","Libra",3,14.46,43.38,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","21","Plátano verde","Libra",16,5.16,82.56,43
"CB2011Mar",2011,"Mar","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/CMar2011.xls","22","Naranja","Libra",46,5.44,250.24,43
