"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","1","Arroz","Libra",38,9.27,352.26,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","2","Frijol","Libra",34,12.14,412.76,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","3","Azúcar","Libra",30,7.61,228.3,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","4","Aceite","Litro",7,35.92,251.44,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","5","Posta de res","Libra",8,44.53,356.24,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","6","Posta de cerdo","Libra",5,48.02,240.1,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","7","Carne de aves","Libra",8,25.76,206.08,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","8","Chuleta de pescado","Libra",9,47.85,430.65,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","9","Leche","Litro",30,18.21,546.3,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","10","Huevos","Docena",7,34.08,238.56,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","11","Queso seco","Libra",9,39.3,353.7,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","12","Tortilla","Libra",57,11.45,652.65,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","13","Pinolillo","Libra",10,19.78,197.8,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","14","Pastas alimenticias","Libra",5,20.86,104.3,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","15","Pan","Libra",27,18.65,503.55,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","16","Tomate de cocinar","Libra",14,14.02,196.28,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","17","Cebolla blanca","Libra",8,23.01,184.08,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","18","Papas","Libra",15,12.87,193.05,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","19","Ayote","Libra",32,5.62,179.84,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","20","Chiltoma","Libra",3,32.83,98.49,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","21","Plátano verde","Libra",16,4.94,79.04,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","22","Naranja","Libra",46,2.88,132.48,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","23","Repollo","Libra",2,4.77,9.54,50
"CB2011Oct",2011,"Oct","http://www.inide.gob.ni/docs/CanastaB/canastab/CB2011/COct2011.xls","24","Jabón de lavar ropa","Unidad",12.55,11.63,145.9565,50
