"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","1","Arroz","Libra",38,10.37,394.06
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","2","Frijol","Libra",34,10.69,363.46
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","3","Azúcar","Libra",30,8.27,248.1
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","4","Aceite","Litro",7,36.6,256.2
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","5","Posta de res","Libra",8,53.66,429.28
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","6","Posta de cerdo","Libra",5,52.61,263.05
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","7","Carne de aves","Libra",8,28.53,228.24
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","8","Chuleta de pescado","Libra",9,53.15,478.35
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","9","Leche","Litro",30,19.97,599.1
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","10","Huevos","Docena",7,35.01,245.07
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","11","Queso seco","Libra",9,36.96,332.64
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","12","Tortilla","Libra",57,11.75,669.75
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","13","Pinolillo","Libra",10,21.08,210.8
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","14","Pastas alimenticias","Libra",5,19.84,99.2
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","15","Pan","Libra",27,18.17,490.59
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","16","Tomate de cocinar","Libra",14,8.98,125.72
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","17","Cebolla blanca","Libra",8,26.07,208.56
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","18","Papas","Libra",15,16.07,241.05
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","19","Ayote","Libra",32,5.32,170.24
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","20","Chiltoma","Libra",3,21.24,63.72
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","21","Plátano verde","Libra",16,5.88,94.08
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","22","Naranja","Libra",46,4.41,202.86
"CB2012Ago",2012,"Ago","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CAgo2012.xls","23","Repollo","Libra",2,4.08,8.16
