"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","1","Arroz","Libra",38,10.31,391.78,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","2","Frijol","Libra",34,11.39,387.26,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","3","Azúcar","Libra",30,8.2,246,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","4","Aceite","Litro",7,37.58,263.06,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","5","Posta de res","Libra",8,52.58,420.64,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","6","Posta de cerdo","Libra",5,52.33,261.65,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","7","Carne de aves","Libra",8,27.97,223.76,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","8","Chuleta de pescado","Libra",9,52.52,472.68,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","9","Leche","Litro",30,19.97,599.1,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","10","Huevos","Docena",7,37.32,261.24,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","11","Queso seco","Libra",9,32.33,290.97,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","12","Tortilla","Libra",57,11.56,658.92,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","13","Pinolillo","Libra",10,20.64,206.4,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","14","Pastas alimenticias","Libra",5,20.42,102.1,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","15","Pan","Libra",27,17.62,475.74,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","16","Tomate de cocinar","Libra",14,13.89,194.46,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","17","Cebolla blanca","Libra",8,20.33,162.64,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","18","Papas","Libra",15,13.6,204,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","19","Ayote","Libra",32,7.21,230.72,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","20","Chiltoma","Libra",3,21.96,65.88,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","21","Plátano verde","Libra",16,5.78,92.48,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","22","Naranja","Libra",46,6.34,291.64,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","23","Repollo","Libra",2,4.51,9.02,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","24","Jabón de lavar ropa","Unidad",12.55,12.34,154.867,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","25","Detergente en polvo","Bolsita de 40 gramos",27.97,2.07,57.8979,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","26","Pastas dental","Unidad de 115 grs",2.13,27.76,59.1288,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,1.01,10.9787,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","28","Escoba","Unidad",1.22,36.37,44.3714,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","29","Papel higiénico","Rollos",10.71,10.35,110.8485,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","30","Jabón de baño","Unidad",4.67,5.63,26.2921,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,13.26,29.3046,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","32","Desodorante nacional","Unidad",1.9,20.24,38.456,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","33","Cepillo dental","Unidad",2.49,9.92,24.7008,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","34","Alquiler","Valor (C$) mensual",1,900,900,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","35","Gas butano","25 libras",1,242.5,242.5,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","36","Luz eléctrica","KWH",100,2.371659,237.1659,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","37","Agua","Galones",5292,0.01559,82.50228,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","38","Transporte","Pasaje",240,2.5,600,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,277.88,172.2856,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","40","Camisa manga corta","Unidad",0.66,90.19,59.5254,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","41","Calzoncillos","Unidad",1.57,27.34,42.9238,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","42","Calcetines","Par",1.32,20.42,26.9544,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,307.51,132.2293,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","44","Blusa manga corta","Unidad",0.66,78.64,51.9024,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,261.97,133.6047,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","46","Vestido entero","Unidad",0.5,209.45,104.725,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","47","Calzones/ Bikinis","Unidad",1.23,25.5,31.365,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","48","Brassiers/ sostén","Unidad",0.97,28.83,27.9651,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","49","Sandalias de cuero sintético","Par",0.44,177,77.88,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","50","Traje completo","Unidad",0.5,208.11,104.055,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","51","Calzones","Unidad",1.43,17.95,25.6685,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","52","Calcetines","Par",1.39,18.38,25.5482,58
"CB2012Jun",2012,"Jun","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CJunio2012.xls","53","Zapato de cuero sintético","Par",0.45,249.17,112.1265,58
