"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","1","Arroz","Libra",38,10.75,408.5,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","2","Frijol","Libra",34,8.74,297.16,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","3","Azúcar","Libra",30,8.74,262.2,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","4","Aceite","Litro",7,33.85,236.95,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","5","Posta de res","Libra",8,56.9,455.2,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","6","Posta de cerdo","Libra",5,53.05,265.25,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","7","Carne de aves","Libra",8,29.96,239.68,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","8","Chuleta de pescado","Libra",9,61,549,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","9","Leche","Litro",30,21.55,646.5,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","10","Huevos","Docena",7,40.87,286.09,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","11","Queso seco","Libra",9,53.97,485.73,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","12","Tortilla","Libra",57,12.2,695.4,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","13","Pinolillo","Libra",10,20.86,208.6,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","14","Pastas alimenticias","Libra",5,20.56,102.8,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","15","Pan","Libra",27,19.19,518.13,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","16","Tomate de cocinar","Libra",14,15.15,212.1,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","17","Cebolla blanca","Libra",8,26.27,210.16,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","18","Papas","Libra",15,13.88,208.2,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","19","Ayote","Libra",32,7.48,239.36,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","20","Chiltoma","Libra",3,35.09,105.27,69
"CB2013May",2013,"May","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2013/CMay2013.xls","21","Plátano verde","Libra",16,7.41,118.56,69
