"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","1","Arroz","Libra",38,11.27,428.26
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","2","Frijol","Libra",34,11.16,379.44
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","3","Azúcar","Libra",30,9.05,271.5
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","4","Aceite","Litro",7,33.71,235.97
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","5","Posta de res","Libra",8,60.37,482.96
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","6","Posta de cerdo","Libra",5,53.45,267.25
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","7","Carne de aves","Libra",8,31.76,254.08
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","8","Chuleta de pescado","Libra",9,59.58,536.22
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","9","Leche","Litro",30,24.23,726.9
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","10","Huevos","Docena",7,43.92,307.44
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","11","Queso seco","Libra",9,54.63,491.67
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","12","Tortilla","Libra",57,14.02,799.14
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","13","Pinolillo","Libra",10,21.27,212.7
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","14","Pastas alimenticias","Libra",5,21.08,105.4
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","15","Pan","Libra",27,19.64,530.28
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","16","Tomate de cocinar","Libra",14,13.67,191.38
"CB2014Ene",2014,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBEne2014.xls","17","Cebolla blanca","Libra",8,27.86,222.88
