"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","1","Arroz","Libra",38,12,456
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","2","Frijol","Libra",34,24.33,827.22
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","3","Azúcar","Libra",30,9.47,284.1
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","4","Aceite","Litro",7,33.49,234.43
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","5","Posta de res","Libra",8,64.25,514
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","6","Posta de cerdo","Libra",5,58.92,294.6
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","7","Carne de aves","Libra",8,32.8,262.4
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","8","Chuleta de pescado","Libra",9,63.41,570.69
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","9","Leche","Litro",30,24.65,739.5
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","10","Huevos","Docena",7,45.08,315.56
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","11","Queso seco","Libra",9,44.29,398.61
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","12","Tortilla","Libra",57,13.4,763.8
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","13","Pinolillo","Libra",10,21.67,216.7
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","14","Pastas alimenticias","Libra",5,22.02,110.1
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","15","Pan","Libra",27,19.76,533.52
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","16","Tomate de cocinar","Libra",14,18.24,255.36
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","17","Cebolla blanca","Libra",8,31.75,254
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","18","Papas","Libra",15,17.56,263.4
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","19","Ayote","Libra",32,10.77,344.64
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","20","Chiltoma","Libra",3,43.94,131.82
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","21","Plátano verde","Libra",16,8.01,128.16
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","22","Naranja","Libra",46,10.61,488.06
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","23","Repollo","Libra",2,7.18,14.36
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","24","Jabón de lavar ropa","Unidad",12.55,13.08,164.15
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.33,65.17
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","26","Pasta dental","Unidad de 115 grs ",2.13,29.4,62.62
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,1.01,10.98
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","28","Escoba","Unidad",1.22,38.54,47.02
"CB2014Jul",2014,"Jul","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBJul2014.xls","29","Papel higiénico","Rollos",10.71,11.2,119.95
