"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","1","Arroz","Libra",38,12.27,466.26
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","2","Frijol","Libra",34,26.58,903.72
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","3","Azúcar","Libra",30,9.64,289.2
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","4","Aceite","Litro",7,33.76,236.32
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","5","Posta de res","Libra",8,65.72,525.76
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","6","Posta de cerdo","Libra",5,60.46,302.3
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","7","Carne de aves","Libra",8,33.03,264.24
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","8","Chuleta de pescado","Libra",9,63.33,569.97
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","9","Leche","Litro",30,24.65,739.5
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","10","Huevos","Docena",7,44.55,311.85
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","11","Queso seco","Libra",9,50.93,458.37
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","12","Tortilla","Libra",57,13.51,770.07
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","13","Pinolillo","Libra",10,21.84,218.4
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","14","Pastas alimenticias","Libra",5,22.06,110.3
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","15","Pan","Libra",27,19.65,530.55
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","16","Tomate de cocinar","Libra",14,14.48,202.72
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","17","Cebolla blanca","Libra",8,22.83,182.64
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","18","Papas","Libra",15,15.41,231.15
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","19","Ayote","Libra",32,9.26,296.32
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","20","Chiltoma","Libra",3,33.76,101.28
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","21","Plátano verde","Libra",16,9.57,153.12
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","22","Naranja","Libra",46,6.17,283.82
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","23","Repollo","Libra",2,5.84,11.68
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","24","Jabón de lavar ropa","Unidad",12.55,13.09,164.28
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.36,66.01
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","26","Pasta dental","Unidad de 115 grs ",2.13,29.23,62.26
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,0.89,9.67
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","28","Escoba","Unidad",1.22,38.91,47.47
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","29","Papel higiénico","Rollos",10.71,11.25,120.49
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","30","Jabón de baño","Unidad",4.67,5.97,27.88
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,14.96,33.06
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","32","Desodorante nacional","Unidad",1.9,21.73,41.29
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","33","Cepillo dental","Unidad",2.49,10,24.9
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","35","Gas butano"," 25 libras",1,275.93,275.93
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","36","Luz eléctrica","KWH",100,2.65,265.21
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","37","Agua","Galones",5292,0.02,97.51
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","38","Transporte","Pasaje",240,2.5,600
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,342.63,212.87
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","40","Camisa manga corta","Unidad",0.66,98.43,64.96
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","41","Calzoncillos","Unidad",1.57,33.08,51.77
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","42","Calcetines","Par",1.32,24.96,32.94
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,355.29,153.56
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","44","Blusa manga corta","Unidad",0.66,91.69,60.52
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,318.07,162.22
"CB2014Sep",2014,"Sep","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2014/CBSep2014.xls","46","Vestido entero","Unidad",0.5,228.58,114.29
