"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","1","Arroz","Libra",38,12.1,459.8
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","2","Frijol","Libra",34,15.76,535.84
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","3","Azúcar","Libra",30,9.95,298.5
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","4","Aceite","Litro",7,30.96,216.72
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","5","Posta de res","Libra",8,86.29,690.32
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","6","Posta de cerdo","Libra",5,71.48,357.4
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","7","Carne de aves","Libra",8,35.62,284.96
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","8","Chuleta de pescado","Libra",9,71.43,642.87
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","9","Leche","Litro",30,25.97,779.1
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","10","Huevos","Docena",7,48.6,340.2
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","11","Queso seco","Libra",9,52.86,475.74
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","12","Tortilla","Libra",57,15.2,866.4
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","13","Pinolillo","Libra",10,24.37,243.7
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","14","Pastas alimenticias","Libra",5,23.46,117.3
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","15","Pan","Libra",27,19.61,529.47
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","16","Tomate de cocinar","Libra",14,19.66,275.24
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","17","Cebolla blanca","Libra",8,27.44,219.52
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","18","Papas","Libra",15,15.14,227.1
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","19","Ayote","Libra",32,5.76,184.32
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","20","Chiltoma","Libra",3,33.85,101.55
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","21","Plátano verde","Libra",16,10.26,164.16
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","22","Naranja","Libra",46,5.5,253
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","23","Repollo","Libra",2,5.6,11.2
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","24","Jabón de lavar ropa","Unidad",12.55,13.06,163.9
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.45,68.53
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","26","Pasta dental","Unidad de 115 grs ",2.13,29,61.77
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","27","Fósforos","Cajita de 40 cerrillos",10.87,0.94,10.22
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","28","Escoba","Unidad",1.22,39.26,47.9
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","29","Papel higiénico","Rollos",10.71,11.36,121.67
"CB2015Dic",2015,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2015/CBDic2015.xls","30","Jabón de baño","Unidad",4.67,6.15,28.72
