"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","1","Arroz","Libra",38,13.33,506.54
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","2","Frijol","Libra",34,15.58,529.72
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","3","Azúcar","Libra",30,11.84,355.2
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","4","Aceite","Litro",7,36,252
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","5","Posta de res","Libra",8,87.35,698.8
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","6","Posta de cerdo","Libra",5,62.89,314.45
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","7","Carne de aves","Libra",8,38.59,308.72
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","8","Chuleta de pescado","Libra",9,81.9,737.1
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","9","Leche","Litro",30,28.33,849.9
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","10","Huevos","Docena",7,49.98,349.86
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","11","Queso seco","Libra",9,67.44,606.96
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","12","Tortilla","Libra",57,17.64,1005.48
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","13","Pinolillo","Libra",10,27.63,276.3
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","14","Pastas alimenticias","Libra",5,27.6,138
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","15","Pan","Libra",27,20.01,540.27
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","16","Tomate de cocinar","Libra",14,12.07,168.98
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","17","Cebolla blanca","Libra",8,33.79,270.32
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","18","Papas","Libra",15,17.82,267.3
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","19","Ayote","Libra",32,7.54,241.28
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","20","Chiltoma","Libra",3,26.97,80.91
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","21","Plátano verde","Libra",16,8.03,128.48
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","22","Naranja","Libra",46,4.85,223.1
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","23","Repollo","Libra",2,5.55,11.1
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","24","Jabón de lavar ropa","Unidad",12.55,12.59,158
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,3.14,87.83
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","26","Pasta dental","Unidad de 115 grs ",2.13,30.4,64.75
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","27","Fósforos","Cajita de 40 cerillos",10.87,1.22,13.26
"CB2018Oct",2018,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2018/CBOct2018.xls","28","Escoba","Unidad",1.22,44.83,54.69
