"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","1","Arroz","Libra",38,13.08,497.04
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","2","Frijol","Libra",34,15.19,516.46
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","3","Azúcar","Libra",30,12.09,362.7
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","4","Aceite","Litro",7,34.29,240.03
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","5","Posta de res","Libra",8,81.18,649.44
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","6","Posta de cerdo","Libra",5,65.58,327.9
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","7","Carne de aves","Libra",8,44.94,359.52
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","8","Chuleta de pescado","Libra",9,79.35,714.15
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","9","Leche","Litro",30,28.39,851.7
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","10","Huevos","Docena",7,53.99,377.93
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","11","Queso seco","Libra",9,74.13,667.17
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","12","Tortilla","Libra",57,16.62,947.34
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","13","Pinolillo","Libra",10,27.79,277.9
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","14","Pastas alimenticias","Libra",5,28.5,142.5
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","15","Pan","Libra",27,20.46,552.42
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","16","Tomate de cocinar","Libra",14,14.87,208.18
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","17","Cebolla blanca","Libra",8,21.34,170.72
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","18","Papas","Libra",15,15.79,236.85
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","19","Ayote","Libra",32,6.39,204.48
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","20","Chiltoma","Libra",3,29.16,87.48
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","21","Plátano verde","Libra",16,8.33,133.28
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","22","Naranja","Libra",46,6.01,276.46
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","23","Repollo","Libra",2,10.6,21.2
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","24","Jabón de lavar ropa","Unidad",12.55,12.66,158.88
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,3.82,106.85
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","26","Pasta dental","Unidad de 115 grs ",2.13,30.66,65.31
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","27","Fósforos","Cajita de 40 cerillos",10.87,1.35,14.67
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","28","Escoba","Unidad",1.22,48.81,59.55
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","29","Papel higiénico","Rollos",10.71,11.67,124.99
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","30","Jabón de baño","Unidad",4.67,8.51,39.74
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,17.64,38.98
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","32","Desodorante nacional","Unidad",1.9,28.27,53.71
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","33","Cepillo dental","Unidad",2.49,12.04,29.98
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","35","Gas butano"," 25 libras",1,280.91,280.91
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","36","Luz eléctrica","KWH",100,2.98,298.35
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","37","Agua","Galones",5292,0.03,152.55
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","38","Transporte","Pasaje",240,2.5,600
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,454.12,282.14
"CB2019Feb",2019,"Feb","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2019/CBFeb2019.xls","40","Camisa manga corta","Unidad",0.66,123.63,81.6
