"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","1","Arroz","Libra",38,14.11,536.18
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","2","Frijol","Libra",34,29.04,987.36
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","3","Azúcar","Libra",30,12.91,387.3
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","4","Aceite","Litro",7,40.56,283.92
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","5","Posta de res","Libra",8,94.95,759.6
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","6","Posta de cerdo","Libra",5,68.94,344.7
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","7","Carne de aves","Libra",8,42.76,342.08
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","8","Chuleta de pescado","Libra",9,80.14,721.26
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","9","Leche","Litro",30,31.08,932.4
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","10","Huevos","Docena",7,58.07,406.49
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","11","Queso seco","Libra",9,65.23,587.07
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","12","Tortilla","Libra",57,17.63,1004.91
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","13","Pinolillo","Libra",10,30.08,300.8
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","14","Pastas alimenticias","Libra",5,30.14,150.7
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","15","Pan","Libra",27,23.83,643.41
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","16","Tomate de cocinar","Libra",14,14.64,204.96
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","17","Cebolla blanca","Libra",8,33.72,269.76
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","18","Papas","Libra",15,22.63,339.45
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","19","Ayote","Libra",32,9.68,309.76
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","20","Chiltoma","Libra",3,33.84,101.52
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","21","Plátano verde","Libra",16,9.04,144.64
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","22","Naranja","Libra",46,10.08,463.68
"CB2020Jun",2020,"Jun","https://www.inide.gob.ni/docs/CanastaB/CB2020/CBJun2020.xls","23","Repollo","Libra",2,7.3,14.6
