"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","1","Arroz","Libra",38,15.46,587.48,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","2","Frijol","Libra",34,18.47,627.98,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","3","Azúcar","Libra",30,13.54,406.2,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","4","Aceite","Litro",7,57.5,402.5,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","5","Posta de res","Libra",8,104.69,837.52,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","6","Posta de cerdo","Libra",5,77.55,387.75,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","7","Carne de aves","Libra",8,47.05,376.4,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","8","Chuleta de pescado","Libra",9,87.86,790.74,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","9","Leche","Litro",30,31.58,947.4,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","10","Huevos","Docena",7,64,448,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","11","Queso seco","Libra",9,67.96,611.64,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","12","Tortilla","Libra",57,18.36,1046.52,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","13","Pinolillo","Libra",10,30.93,309.3,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","14","Pastas alimenticias","Libra",5,33.72,168.6,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","15","Pan","Libra",27,26.46,714.42,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","16","Tomate de cocinar","Libra",14,16.92,236.88,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","17","Cebolla blanca","Libra",8,35.05,280.4,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","18","Papas","Libra",15,15.86,237.9,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","19","Ayote","Libra",32,7.3,233.6,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","20","Chiltoma","Libra",3,32.96,98.88,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","21","Plátano verde","Libra",16,9.49,151.84,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","22","Naranja","Libra",46,7.04,323.84,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","23","Repollo","Libra",2,5.68,11.36,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","24","Jabón de lavar ropa","Unidad",12.55,18.15,227.7825,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","25","Detergente en polvo","Bolsita de 40 gramos",27.97,3.14,87.8258,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","26","Pasta dental","Unidad de 115 grs",2.13,37.09,79.0017,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","27","Fósforos","Cajita de 40 cerillos",10.87,1.78,19.3486,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","28","Escoba","Unidad",1.22,67.25,82.045,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","29","Papel higiénico","Rollos",10.71,16.08,172.2168,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","30","Jabón de baño","Unidad",4.67,13.57,63.3719,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,23.04,50.9184,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","32","Desodorante nacional","Unidad",1.9,40.61,77.159,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","33","Cepillo dental","Unidad",2.49,16.18,40.2882,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","34","Alquiler","Valor (C$) mensual",1,900,900,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","35","Gas butano","25 libras",1,392.69,392.69,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","36","Luz eléctrica","KWH",100,2.96872375,296.872375,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","37","Agua","Galones",5292,0.0302774802216931,160.2284253332,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","38","Transporte","Pasaje",240,2.5,600,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","39","Pantalón largo de tela de jeans","Unidad",0.621290101151897,469.92,291.956644333299,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","40","Camisa manga corta","Unidad",0.660003700679698,130.49,86.1238829016939,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","41","Calzoncillos","Unidad",1.56501893310219,46,71.9908709227007,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","42","Calcetines","Par",1.3198798072969,30.94,40.8370812377662,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.432211303669415,453.91,196.185032848584,168
"CB2021Ago",2021,"Ago","https://www.inide.gob.ni/docs/CanastaB/CB2021/CBAgo2021.xls","44","Blusa manga corta","Unidad",0.66,134.33,88.6578,168
