"yymm","year","month","url","row","bien","medida","cantidad","precio","total","id"
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","1","Arroz","Libra",38,16.76,636.88,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","2","Frijol","Libra",34,26.26,892.84,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","3","Azúcar","Libra",30,14,420,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","4","Aceite","Litro",7,77.22,540.54,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","5","Posta de res","Libra",8,130.23,1041.84,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","6","Posta de cerdo","Libra",5,86.56,432.8,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","7","Carne de aves","Libra",8,50.6,404.8,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","8","Chuleta de pescado","Libra",9,98.03,882.27,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","9","Leche","Litro",30,34.72,1041.6,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","10","Huevos","Docena",7,64.69,452.83,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","11","Queso seco","Libra",9,82.37,741.33,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","12","Tortilla","Libra",57,26.29,1498.53,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","13","Pinolillo","Libra",10,33.66,336.6,179
"CB2022Jul",2022,"Jul","https://www.inide.gob.ni/docs/CanastaB/CB2022/CBJulio2022.xlsx","14","Pastas alimenticias","Libra",5,39.32,196.6,179
